                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.45581,                0.56901,                0.38287,                  0.903,                0.89816,                0.95588,                0.95537,                0.81324,                0.89108,                0.94853,                0.96376,                0.69824,                 0.6055,                 3.0382,                0.55692,                0.93287,             0.00085845,             0.00085845,             0.00085845
                     26,                0.44617,                0.45905,                0.35753,                0.89474,                 0.9496,                0.96973,                 0.9796,                0.85221,                 0.9496,                0.96973,                0.97847,                0.80511,                0.53173,                 1.2808,                0.49493,                0.91121,              0.0008436,              0.0008436,              0.0008436
                     27,                0.43713,                0.46741,                0.37058,                0.88325,                0.99258,                0.98301,                0.98827,                0.88084,                      1,                0.99036,                  0.995,                0.87363,                0.49101,                0.76319,                0.45399,                 0.8784,             0.00082875,             0.00082875,             0.00082875
                     28,                0.43911,                0.47193,                0.37176,                0.88769,                0.98448,                0.99265,                0.99162,                0.90644,                0.98448,                0.99265,                0.99162,                 0.8837,                0.42142,                0.73212,                0.40138,                0.84029,              0.0008139,              0.0008139,              0.0008139
                     29,                0.44096,                0.45298,                0.36669,                0.88589,                0.96872,                      1,                0.99136,                0.90587,                0.96872,                      1,                0.99136,                0.89211,                 0.4327,                0.80382,                0.39243,                0.84841,             0.00079905,             0.00079905,             0.00079905
                     30,                0.40686,                0.47862,                0.34242,                0.87528,                 0.9927,                0.99936,                  0.995,                0.90148,                 0.9927,                0.99936,                  0.995,                0.88323,                0.45703,                 0.8862,                0.43024,                0.85877,              0.0007842,              0.0007842,              0.0007842
                     31,                 0.4553,                0.56413,                0.38794,                0.90474,                0.99517,                      1,                  0.995,                 0.8948,                0.99517,                      1,                  0.995,                0.86514,                0.46598,                0.89441,                0.50495,                 0.8691,             0.00076935,             0.00076935,             0.00076935
                     32,                0.43507,                 0.4821,                0.35137,                0.88397,                0.98547,                0.99739,                0.99104,                0.92209,                0.98547,                0.99739,                0.99104,                0.91619,                0.39761,                0.73256,                0.41264,                0.83987,              0.0007545,              0.0007545,              0.0007545
                     33,                0.39929,                0.47732,                   0.34,                0.86924,                0.99209,                      1,                0.99084,                0.91767,                0.99209,                      1,                0.99084,                0.91466,                0.38855,                0.68665,                0.37549,                0.83484,             0.00073965,             0.00073965,             0.00073965
                     34,                0.41254,                0.46045,                0.34772,                0.88468,                0.99792,                      1,                  0.995,                0.92239,                0.99792,                      1,                  0.995,                0.91005,                 0.3926,                0.68893,                0.37364,                0.83703,              0.0007248,              0.0007248,              0.0007248
                     35,                0.40712,                0.46192,                0.33628,                0.87318,                0.99665,                      1,                  0.995,                 0.9221,                0.99665,                      1,                  0.995,                0.89745,                0.39456,                0.71488,                0.37818,                0.83389,             0.00070995,             0.00070995,             0.00070995
                     36,                0.40739,                0.45803,                0.32741,                0.87109,                 0.9927,                0.99963,                  0.995,                0.93291,                 0.9927,                0.99963,                  0.995,                 0.9204,                0.36911,                0.59064,                0.37677,                  0.819,              0.0006951,              0.0006951,              0.0006951
                     37,                0.40735,                0.48178,                0.33857,                0.85678,                0.99259,                      1,                  0.995,                0.92831,                0.99259,                      1,                  0.995,                0.91177,                0.39997,                0.63622,                0.37158,                0.82416,             0.00068025,             0.00068025,             0.00068025
                     38,                0.39413,                0.46642,                0.32931,                0.87377,                0.99755,                      1,                  0.995,                0.92163,                0.99755,                      1,                  0.995,                0.90329,                0.42125,                 0.6117,                0.35663,                0.82975,              0.0006654,              0.0006654,              0.0006654
                     39,                0.38581,                0.46693,                0.31125,                 0.8615,                0.99825,                      1,                  0.995,                  0.926,                0.99825,                      1,                  0.995,                0.91466,                0.40829,                 0.5945,                0.34528,                0.82605,             0.00065055,             0.00065055,             0.00065055
                     40,                0.38887,                0.48231,                0.31813,                0.87186,                0.99207,                      1,                  0.995,                0.92475,                0.99207,                      1,                  0.995,                0.93332,                0.37842,                0.57588,                0.33496,                0.81627,              0.0006357,              0.0006357,              0.0006357
                     41,                0.40213,                0.47043,                0.33126,                0.86346,                0.99749,                      1,                  0.995,                0.92573,                0.99749,                      1,                  0.995,                0.92972,                0.37406,                0.57292,                0.34287,                0.81657,             0.00062085,             0.00062085,             0.00062085
                     42,                0.41188,                0.45649,                0.32917,                0.87168,                0.99411,                      1,                  0.995,                0.92649,                0.99411,                      1,                  0.995,                0.91329,                0.38026,                0.53293,                0.34411,                0.81728,               0.000606,               0.000606,               0.000606
                     43,                  0.418,                0.43922,                0.34604,                0.89944,                0.99801,                      1,                  0.995,                0.92432,                0.99801,                      1,                  0.995,                0.92382,                0.39598,                0.51787,                0.32989,                0.82147,             0.00059115,             0.00059115,             0.00059115
                     44,                 0.3844,                0.47951,                0.29639,                 0.8568,                      1,                0.99927,                  0.995,                0.92959,                      1,                0.99927,                  0.995,                0.93115,                 0.3808,                0.52035,                0.30548,                0.82492,              0.0005763,              0.0005763,              0.0005763
